brand;model;version;registration_base_description;my_code;control;msrp;retail_bonus;trade_in_bonus;subsidized_rate_monthly;down_payment_percent;installments;rate_cost;insurance_years;ipva_value;others_bonus;dealer_rebate;total_customer_benefit;comment;offer_month_code
Jeep;Compass;Blackhawk 2.0 TGDI AT;JEEP/COMPASS BLACKHAWK;25/26;Jeep Compass Blackhawk 2.0 TGDI AT 2526;R$279.990;R$5.000;R$5.000;0,00;60;24;R$14.800;0Y;R$0;R$0;R$0;R$0;0;202508
Jeep;Commander;Longitude 1.3 TGDI AT;JEEP/COMMANDER LONG T;25/25;Jeep Commander Longitude 1.3 TGDI AT 2525;R$240.490;R$26.000;R$0;0,00;00;00;;0Y;R$0;R$0;R$0;R$0;0;202508
Jeep;Commander;Overland 1.3 TGDI AT;"JEEP/COMMANDER OVR T;JEEP/COMMANDER OVE 7 270";25/25;Jeep Commander Overland 1.3 TGDI AT 2525;R$280.990;R$16.000;R$0;0,00;50;30;R$2.500;0Y;R$0;R$0;R$0;R$0;0;202508
Jeep;Commander;Overland 2.2 TD AT 4x4;JEEP/COMMANDER OVR TD;25/25;Jeep Commander Overland 2.2 TD AT 4x4 2525;R$314.490;R$16.000;R$0;0,00;50;30;R$2.800;0Y;R$0;R$0;R$0;R$0;0;202508
Jeep;Commander;Limited 1.3 TGDI AT;"JEEP/COMMANDER LIM T;JEEP/COMMANDER LIM 7 270";25/25;Jeep Commander Limited 1.3 TGDI AT 2525;R$257.990;R$16.000;R$0;0,00;50;30;R$2.300;0Y;R$0;R$0;R$0;R$0;0;202508
Jeep;Commander;Overland Hurricane 2.0 TGDI AT 4x4;JEEP/COMMANDER OVR T 2.0;25/25;Jeep Commander Overland Hurricane 2.0 TGDI AT 4x4 2525;R$323.990;R$25.000;R$0;0,00;50;30;R$2.900;0Y;R$0;R$0;R$0;R$0;0;202508
Jeep;Commander;Blackhawk Hurricane 2.0 TGDI AT 4x4;JEEP/COMMANDER BLACKHAWK;25/25;Jeep Commander Blackhawk Hurricane 2.0 TGDI AT 4x4 2525;R$340.990;R$18.000;R$0;0,00;50;30;R$3.000;0Y;R$0;R$0;R$0;R$0;0;202508
Jaecoo;7;Luxury 1.5 TGDI PHEV DHT;I/JAECOO 7 LUXURY;25/26;Jaecoo 7 Luxury 1.5 TGDI PHEV DHT 2526;R$229.990;R$0;R$22.500;0,00;60;24;R$12.200;0Y;R$0;R$0;R$6.000;R$22.500;0;202508
Jaecoo;7;Prestige 1.5 TGDI PHEV DHT;I/JAECOO 7 PRESTIGE;25/26;Jaecoo 7 Prestige 1.5 TGDI PHEV DHT 2526;R$249.990;R$0;R$15.500;0,00;60;24;R$13.300;0Y;R$0;R$0;R$6.000;R$15.500;0;202508
Omoda;E5;EV;I/OMODA E5;25/26;Omoda E5 EV 2526;R$209.990;R$0;R$7.500;0,00;60;24;R$11.100;0Y;R$0;R$0;R$6.000;R$6.000;0;202508
Fiat;Pulse;Drive 1.3 MT;FIAT/PULSE DRIVE MT;25/26;Fiat Pulse Drive 1.3 MT 2526;R$99.990;R$0;R$0;0,00;00;00;;0Y;R$0;R$0;R$0;R$0;0;202508
Fiat;Pulse;Drive 1.3 AT;FIAT/PULSE DRIVE AT;25/26;Fiat Pulse Drive 1.3 AT 2526;R$111.990;R$0;R$0;0,00;00;00;;0Y;R$0;R$0;R$0;R$0;0;202508
Fiat;Pulse;1.0 TGDI AT;FIAT/PULSE TURBO 200;25/26;Fiat Pulse 1.0 TGDI AT 2526;R$116.990;R$0;R$0;0,99;50;36;R$4.000;0Y;R$0;R$0;R$0;R$4.000;0;202508
Fiat;Pulse;Audace 1.0 TGDI MHEV AT;FIAT/PULSE AUDACE HYB;25/26;Fiat Pulse Audace 1.0 TGDI MHEV AT 2526;R$131.990;R$0;R$0;0,00;00;00;;0Y;R$0;R$0;R$0;R$0;0;202508
